name,is_male,is_fictional,age,is_married,is_turkish,from_movie,from_anime,from_tv_series,is_politician,is_actor,is_singer,is_sportsman,is_historical,popularity_score,height_cm,has_children,is_alive,birth_year,category,nationality,has_beard,wears_glasses,is_football_player,is_rapper,is_youtuber,known_for,is_director,is_model,is_comedian,is_tv_host,is_villain,is_superhero,burc,likes_strawberry_milk,has_dog,has_cat,favorite_food,spotify_listeners_million,played_for_galatasaray,played_for_fenerbahce,played_for_besiktas,played_for_real_madrid,won_ballon_dor,won_oscar,won_grammy,divorced,has_famous_partner,is_bald,has_tattoo,known_for_80s
Çağlar Ertuğrul,1,0,36,0,1,1,0,1,0,1,0,0,0,93,188,0,1,1987,Oyuncu,Türk,1,0,0,0,0,Teşkilat Serdar ve Afili Aşk Kerem,0,0,0,0,0,0,Scorpio,0,1,0,Steak,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Rıza Tekin,1,1,60,1,1,0,0,1,0,0,0,0,0,78,178,1,1,0,Kurgusal Kahraman,Türk,1,0,0,0,0,"Yaprak Dökümü, aile babası, ahlak mücadelesi",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Alphonse Elric,1,1,14,0,0,0,1,0,0,0,0,0,0,95,210,0,1,1900,Anime,Amestris,0,0,0,0,0,Ruhu zırha bağlı çocuk,0,0,0,0,0,1,Aquarius,0,0,1,None,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemo,1,1,0,0,0,1,0,1,0,0,0,0,0,90,10,0,1,0,Çizgi Karakter,Kurgusal,0,0,0,0,0,"Finding Nemo, lucky fin, ocean rescue journey",0,0,0,0,0,0,Yengeç,1,0,1,elmalı turta,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Eflatun,1,1,35,0,1,0,0,1,0,0,0,0,0,70,175,0,1,0,Kurgusal Kahraman,Türk,1,0,0,0,0,"Leyla ile Mecnun, absürt bilgelik, mahalle hikayeleri",0,0,1,0,0,0,,,,,,,,,,,,,,,,,,
Neşet Ertaş,1,0,88,1,1,0,0,0,0,0,1,0,0,92,172,1,0,1938,Müzisyen,Türk,1,0,0,0,0,"Gönül Dağı, Bozkırın Tezenesi, bozlak",0,0,0,0,0,0,Balık,1,1,1,sushi,2,0,0,0,0,0,0,0,1,0,0,0,1
Kylian Mbappe,1,0,28,1,0,0,0,0,0,0,0,1,0,94,178,1,1,1998,Futbolcu,Uluslararası,0,0,1,0,0,"France 2018 World Cup, PSG goals, Real Madrid move",0,0,0,0,0,0,Oğlak,0,1,1,salad,0.0,0,0,0,1,0,0,0,0,0,0,1,0
Hadise,0,0,38,0,1,0,0,1,0,0,1,0,0,97,169,0,1,1985,Şarkıcı,Türk,0,0,0,0,0,Düm Tek Tek Eurovision ve O Ses Türkiye,0,0,0,1,0,0,Libra,1,1,0,Belçika Çikolatası,4.1,0,0,0,0,0,0,0,1,1,0,1,0
Jül Sezar,1,0,2126,0,0,0,0,0,1,0,0,0,1,98,170,0,0,-100,Tarihi Figür,Romalı,1,0,0,0,0,"Roma diktatörü, Rubicon'u geçiş, Brütüs ihaneti",0,0,0,0,0,0,Boğa,0,0,1,taco,0,0,0,0,0,0,0,0,0,0,0,0,0
Beren Saat,0,0,40,1,1,1,0,1,0,1,0,0,0,99,163,0,1,1984,Oyuncu,Türk,0,0,0,0,0,Aşk-ı Memnu Bihter ve Atiye,0,0,0,0,0,0,Pisces,1,0,1,Sarma,0.0,0,0,0,0,0,0,0,1,1,0,0,0
Black Panther,1,1,35,1,0,1,0,0,1,0,0,0,0,98,183,1,0,1980,Kahraman,Wakanda,1,0,0,0,0,Wakanda kralı, vibranyum kostüm,0,0,0,0,0,1,Yay,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronaldo Nazario,1,0,50,0,0,0,0,0,0,0,0,1,0,96,183,0,1,1976,Futbolcu,Brezilyalı,1,0,1,0,0,"Fenomen lakabı, Real Madrid, iki Dünya Kupası",0,0,0,0,0,0,Balık,1,1,0,balık,0,0,0,0,1,1,0,0,0,0,0,1,0
Ayça Ayşin Turan,1,0,34,1,1,1,0,1,0,1,0,0,0,82,0,0,1,1992,Oyuncu,Türk,1,0,0,0,0,"Ada Masalı, Meryem, Hakan Muhafız, magazin/popüler kültür görünürlüğü",0,0,0,0,0,0,Aslan,0,1,0,balık,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Wesley Sneijder,1,0,42,1,0,0,0,0,0,0,0,1,0,90,170,1,1,1984,Futbolcu,Hollandalı,1,0,1,0,0,"Inter triplete, Galatasaray, uzun şutlar",0,0,0,0,0,0,Kova,1,0,1,makarna,0,1,0,0,1,0,0,0,0,0,0,1,0
Aytaç Şaşmaz,1,0,28,1,1,1,0,1,0,1,0,0,0,80,0,1,1,1998,Oyuncu,Türk,1,0,0,0,0,"Baht Oyunu Bora, Hekimoğlu Emre, Söz Feyzullah, magazin/popüler kültür görünürlüğü",0,0,0,0,0,0,Koç,0,0,0,menemen,0.0,0,0,0,0,0,0,0,0,1,0,1,0
Hisoka,1,1,17,0,0,0,1,1,0,0,0,0,0,88,187,0,1,0,Anime Kötü Karakteri,Japon,0,0,0,0,0,"kart silahları, Bungee Gum, tehlikeli palyaço",0,0,0,0,1,0,Terazi,1,0,1,taco,0,0,0,0,0,0,0,0,0,0,0,0,0
Armin Arlert,1,1,0,0,0,0,1,1,0,0,0,0,0,86,169,0,1,0,0,Anime Karakteri,Japon,0,0,0,0,0,"Attack on Titan, Colossal Titan, strategic mind",0,0,0,0,0,Boğa,0,0,1,ramen,0,0,0,0,0,0,0,0,0,0,0,0,0
Annie Leonhart,0,1,0,0,0,1,1,1,0,0,0,0,0,84,153,0,1,0,Anime Karakteri,Kurgusal,0,1,0,0,0,"Attack on Titan, Dişi Titan, kristalleşme",0,0,0,0,1,0,Yay,1,1,0,balık,0.0,0,0,0,0,0,0,0,0,0,0,1,0
